Source,Target
Mounir Al-Shaarani,2001
Nacera Belaza,2001
Nastaran Safaei,2001
Nida Sinnokrot,2001
Nikolaj Bendix,2001
Noma Omran,2001
Ola Hejazi,2001
Otobong Nkanga,2001
Rasheed Araeen,2001
Rashid Masharawi,2001
Romeo Castellucci,2001
Ryoji Ikeda,2001
Sherif El Azma,2001
Sherin Guirguis,2001
Shilpa Gupta,2001
Shiro Takatani,2001
Simryn Gill,2001
"SUPERFLEX ",2001
Susan Hefuna,2001
Tagreed Al-Bagshi,2001
Taysir Batniji,2001
Theo Eshetu,2001
Youssef Abdelkė,2001
Yuko Hasegawa,2001
Ziad Antar,2001
Elena Kovylina,2001-03
José Luis Martinat,2001-03
Ayşe Erkmen,2001-2005
Abdelfattah Kilito,2002
Abdullah Al Saadi,2002
Abdulrahman Soliman,2002
Adrian Paci,2002
Aisha Khalid,2002
Ala Ebtekar,2002
Alfredo Aquilizan,2002
Alfredo Jaar,2002
Ali Essafi,2002
Ali Jabri,2002
Amar Kanwar,2002
Amir H. Fallah,2002
Ayreen Anastas,2002
Ayşe Erkmen,2002
Bahman Kiarostami,2002
Dirk Fleischmann,2002
Djamel Kokene,2002
Eva Meyer-Keller,2002
Eyad Maghazil,2002
Fernando José Pereira,2002
Firoz Mahmud,2002
Fred Eerdekens,2002
Gabriel Lester,2002
Gilbert Hage,2002
Giuseppe Moscatello,2002
Haris Epaminonda,2002
Hend Al-Mansour,2002
Isabel Aquilizan,2002
Karim Aïnouz,2002
Latifa Echakhch,2002
Mariam Ghani,2002
Marilou Lemmens,2002
Michael Rakowitz,2002
Milica Tomić,2002
Mohamed Bourouissa,2002
Mona Hatoum,2002
Mouna Karray,2002
Muhamad Haider,2002
Nida Sinnokrot,2002
Nika Oblak,2002
Ola Hejazi,2002
Omar Rajeh,2002
Pablo Lobato,2002
Pascal Hachem,2002
Pascale Marthine Tayou,2002
Primož Novak,2002
Rashid Masharawi,2002
Ravi Agarwal,2002
Richard Ibghy,2002
Rula Halawani,2002
Shahriar Ahmadi,2002
Sharif Waked,2002
Simryn Gill,2002
Sulayman Al Bassam,2002
Susan Hefuna,2002
Theo Eshetu,2002
Waheeda Malullah,2002
Walid Raad,2002
