target,source,group,long,lat
Iranian,Bahman Kiarostami,3,NA,NA
Iranian,Ahmad Amin Nazar,3,NA,NA
Iraq,Khalid al-Jader,1,43.67929,33.22319
Iraq,Ahmed Alsoudani,1,43.67929,33.22319
Iraq,Mohammed Ghani Hikmat,1,43.67929,33.22319
Iraq,Hafidh al-Droubi,1,43.67929,33.22319
Iraq,Dia Al-Azzawi ,1,43.67929,33.22319
Iraq,Noma Omran,1,43.67929,33.22319
Iraq,Abdul Qadir al-Rassam,1,43.67929,33.22319
Iraq,Sama Alshaibi,1,43.67929,33.22319
Iraq,Huda Totonji,1,43.67929,33.22319
Iraq,Wafaa Bilal,1,43.67929,33.22319
Iraq,Salim al-Dabbagh,1,43.67929,33.22319
Iraq,Faiq Hassan,1,43.67929,33.22319
Iraq,Başak Ertür,1,43.67929,33.22319
Iraq,Suad Al Attar,1,43.67929,33.22319
Iraq,Iman Issa,1,43.67929,33.22319
Iraq,Walid Siti,1,43.67929,33.22319
Iraq,Hassan Massoudy,1,43.67929,33.22319
Iraq Calligraphy Society,Wissam Shawkat,2,NA,NA
Iraq Memory Foundation,Walid Siti,2,NA,NA
Iraqi,Adel Abidin,3,NA,NA
Iraqi,Salim al-Dabbagh,3,NA,NA
Iraqi,Wafaa Bilal,3,NA,NA
Iraqi,Sama Alshaibi,3,NA,NA
Iraqi,Suad Al Attar,3,NA,NA
Iraqi,Atta Sabri,3,NA,NA
Iraqi,Ismail al-Shaikhly,3,NA,NA
Iraqi,Khalid al-Jader,3,NA,NA
Iraqi,Abdul Qadir al-Rassam,3,NA,NA
Iraqi,Dia Al-Azzawi ,3,NA,NA
Iraqi,Hafidh al-Droubi,3,NA,NA
Iraqi,Athier,3,NA,NA
Iraqi,Faiq Hassan,3,NA,NA
Iraqi,Mohammed Ghani Hikmat,3,NA,NA
Ireland,Mohammed Ben Ali Rbati,1,-8.24389,53.41291
Ireland,Amina Menia,1,-8.24389,53.41291
Irish,Shahzia Sikander,3,NA,NA
Isabella Stewart Gardner Museum,Raqs Media Collective,2,NA,NA
ISEA,Wafaa Bilal,2,NA,NA
Isfahan,Shahpour Pouyan,1,51.66798,32.65463
Isfahan,Shantia Zakerameli,1,51.66798,32.65463
Isfahan University of Art,Shantia Zakerameli,2,NA,NA
Islamabad,Hamra Abbas,1,73.09315,33.72939
Islamabad,Sophie Ernst,1,73.09315,33.72939
Islamabad,Imran Qureshi,1,73.09315,33.72939
Islamic Art Department,EFFAT ABDULLAH FADAG,2,NA,NA
Israel,Oraib Toukan,1,34.85161,31.04605
Israel,Halil Altindere,1,34.85161,31.04605
Israel,Sliman Mansour,1,34.85161,31.04605
Israel,Ayreen Anastas,1,34.85161,31.04605
Israel,Fouad Elkoury,1,34.85161,31.04605
Israel,René Gabri,1,34.85161,31.04605
Israel Museum,Sharif Waked,2,NA,NA
Israeli,Sliman Mansour,3,NA,NA
Israeli,Khaled Jarrar,3,NA,NA
Israeli,Rula Halawani,3,NA,NA
Israeli,Wafa Hourani,3,NA,NA
Israeli,Zena el Khalil,3,NA,NA
Israeli,Nida Sinnokrot,3,NA,NA
Israeli,Fouad Elkoury,3,NA,NA
Ist School,Hamed Nada,2,NA,NA
Istanbul,Adel Abdessemed,1,28.97696,41.00527
Istanbul,Burak Arikan,1,28.97696,41.00527
Istanbul,Graziella Rizkallah Toufic,1,28.97696,41.00527
Istanbul,Wafa Karsha,1,28.97696,41.00527
Istanbul,Abbas Akhavan,1,28.97696,41.00527
Istanbul,Fahrelnissa Zeid,1,28.97696,41.00527
Istanbul,Jalal Toufic,1,28.97696,41.00527
Istanbul,Ayşe Erkmen,1,28.97696,41.00527
Istanbul,Basim Magdy ,1,28.97696,41.00527
Istanbul,Manal Al Dowayan,1,28.97696,41.00527
Istanbul,Yasam Sasmazer,1,28.97696,41.00527
Istanbul,Khalil Rabah,1,28.97696,41.00527
Istanbul,Laurent Grasso,1,28.97696,41.00527
Istanbul,Susan Hefuna,1,28.97696,41.00527
Istanbul,Larissa Sansour,1,28.97696,41.00527
Istanbul,Athier,1,28.97696,41.00527
Istanbul,Halil Altindere,1,28.97696,41.00527
Istanbul,Abdul Qadir al-Rassam,1,28.97696,41.00527
Istanbul,Wafa Hourani,1,28.97696,41.00527
Istanbul,Cevdet Erek,1,28.97696,41.00527
Istanbul,:mentalKLINIK,1,28.97696,41.00527
Istanbul,Meriç Algün Ringborg ,1,28.97696,41.00527
Istanbul,Nil Yalter,1,28.97696,41.00527
Istanbul,Rokni Haerizadeh,1,28.97696,41.00527
Istanbul,Arefeh Riahi,1,28.97696,41.00527
Istanbul,Hrair Sarkissian,1,28.97696,41.00527
Istanbul,Diana Al Hadid,1,28.97696,41.00527
Istanbul,Shirin Neshat,1,28.97696,41.00527
Istanbul,Pascal Hachem,1,28.97696,41.00527
Istanbul,Runa Islam,1,28.97696,41.00527
Istanbul,Iman Issa,1,28.97696,41.00527
Istanbul,Lawrence Abu Hamdan ,1,28.97696,41.00527
Istanbul,Işıl Eğrikavuk,1,28.97696,41.00527
Istanbul Biennial,Nevin Aladag,2,NA,NA
Istanbul Biennial,Mounira Al Solh,2,NA,NA
Istanbul Biennial,Hrair Sarkissian,2,NA,NA
Istanbul Biennial,Meriç Algün Ringborg ,2,NA,NA
Istanbul Biennial,Hamra Abbas,2,NA,NA
Istanbul Biennial,Işıl Eğrikavuk,2,NA,NA
Istanbul Biennial,Shahzia Sikander,2,NA,NA
Istanbul Biennial,Jumana Emil Abboud,2,NA,NA
Istanbul Biennial,Ninar Esber,2,NA,NA
Istanbul Biennial,Hala Elkoussy,2,NA,NA
