source,group,target,lat,long
Ana Vidigal,1,São Paulo,-49.0232348,-21.9549806
Anawana Haloba,1,Amsterdam,4.8979956034,52.374436
Anawana Haloba,1,Australia,134.755,-24.7761086
Anawana Haloba,1,Finland,25.9209164,63.2467777
Anawana Haloba,1,Germany,10.4234469,51.0834196
Anawana Haloba,1,Italy,12.674297,42.6384261
Anawana Haloba,1,Lisbon,-9.1380056,38.7130574
Anawana Haloba,1,Livingstone,25.8614287,-17.8531351
Anawana Haloba,1,Norway,9.0999715,60.5000209
Anawana Haloba,1,Oslo,10.7391112,59.9132694
Anawana Haloba,1,Portugal,-7.8896263,40.033265
Anawana Haloba,1,Rauma,21.5039401,61.1289148
Anawana Haloba,1,the Netherlands,5.5346073816,52.2379891
Anawana Haloba,1,UAE,31.2718321,49.4871968
Andreas Gursky,1,Australia,134.755,-24.7761086
Andreas Gursky,1,Austria,13.199959,47.2000338
Andreas Gursky,1,Berlin,13.3888599,52.5170365
Andreas Gursky,1,Britain,-3.2765753,54.7023545
Andreas Gursky,1,Canada,-107.9917071,61.0666922
Andreas Gursky,1,Düsseldorf,6.7737511,51.2251964
Andreas Gursky,1,Germany,10.4234469,51.0834196
Andreas Gursky,1,Leipzig,12.3810549,51.3391827
Andreas Gursky,1,London,-0.1276474,51.5073219
Andreas Gursky,1,Melbourne,144.9631608,-37.8142176
