target,source,group,lat,long
Berlin,Maha Maamoun,1,13.40495,52.52001
Berlin,Sherif El Azma,1,13.40495,52.52001
Berlin,Hamra Abbas,1,13.40495,52.52001
Berlin,Hayv Kahraman,1,13.40495,52.52001
Berlin,Taysir Batniji,1,13.40495,52.52001
Berlin,Yasam Sasmazer,1,13.40495,52.52001
Berlin,Trisha Donnelly,1,13.40495,52.52001
Berlin,Leila Pazooki,1,13.40495,52.52001
Berlin,Amar Kanwar,1,13.40495,52.52001
Berlin,Jowhara Al-Saud ,1,13.40495,52.52001
Berlin,Abbas Akhavan,1,13.40495,52.52001
Berlin,Rachid Kora├»chi,1,13.40495,52.52001
Berlin,Mounira Al Solh,1,13.40495,52.52001
Berlin,Juma Man ,1,13.40495,52.52001
Berlin,David Claerbout,1,13.40495,52.52001
Berlin,Tarek Atoui,1,13.40495,52.52001
Berlin,Shahzia Sikander,1,13.40495,52.52001
Berlin,Idris Khan,1,13.40495,52.52001
Berlin,Farid Belkahia,1,13.40495,52.52001
Berlin,Anri Sala,1,13.40495,52.52001
Berlin,Mo Hatoum,1,13.40495,52.52001
Berlin,Karim A├»nouz,1,13.40495,52.52001
Berlin,Matt Saunders,1,13.40495,52.52001
Berlin,Ahmad Morshedloo,1,13.40495,52.52001
Berlin,dia Kaabi-Linke,1,13.40495,52.52001
Berlin,Haytham el Wardany,1,13.40495,52.52001
Berlin,Ahmed Mater,1,13.40495,52.52001
Berlin,Kassab Bachi,1,13.40495,52.52001
Berlin,Setareh Shahbazi,1,13.40495,52.52001
Berlin,Nevin Aladag,1,13.40495,52.52001
Berlin,N.S. Harsha,1,13.40495,52.52001
Berlin,Yto Barrada,1,13.40495,52.52001
Berlin,Haleh Redjaian,1,13.40495,52.52001
Berlin,Haris Epaminonda,1,13.40495,52.52001
Bern,Marwan Rechmaoui,1,7.444609,46.94792
Bethlehem,Ayreen Astas,1,-75.37046,40.62593
Beyrouth,Fouad Elkoury,1,35.49548,33.88863
Bielefeld,Iman Issa,1,8.532471,52.03023
Billings,Moayad Hakim,1,-108.5007,45.78329
Birmingham,Idris Khan,1,-86.80249,33.52066
Birmingham,Rasheed Araeen,1,-86.80249,33.52066
Birmingham,Ay┼ƒe Erkmen,1,-86.80249,33.52066
Black Sea,Aras ├ûzg├╝n,1,34.29932,43.41303
Black Square,Lulwah Al-Homoud,1,,
Blida,Mohamed Bourouissa,1,2.800568,36.47987
Bolog,Haris Epaminonda,1,11.34262,44.49489
Bonn,Ebtisam Abdulaziz,1,7.098207,50.73743
Bonn,Youssef bil,1,7.098207,50.73743
Bonn,Setareh Shahbazi,1,7.098207,50.73743
Bosnia,Adel Abidin,1,-73.11344,-36.78969
Bosnia,Sharif Waked,1,-73.11344,-36.78969
Boston,Raqs Media Collective,1,-71.05888,42.36008
Boston,Darvish Fakhr,1,-71.05888,42.36008
Boston,Hamra Abbas,1,-71.05888,42.36008
Boston,Oraib Toukan,1,-71.05888,42.36008
Boston,Jowhara Al-Saud ,1,-71.05888,42.36008
Boston,Pouran-Jinchi,1,-71.05888,42.36008
Boston,bil has,1,-71.05888,42.36008
Boulder,Driss Ouadahi,1,-105.2705,40.01499
Bratislava,Mohamed Abdelkarim,1,17.10714,48.14589
Bratislava,Khaled Jarrar,1,17.10714,48.14589
Brazil,Khaled Sabsabi,1,-51.92528,-14.235
Brazil,Mohamed Bourouissa,1,-51.92528,-14.235
Brazil,Monir Shahroudy Farmanfarmaian,1,-51.92528,-14.235
Brazil,A Vidigal,1,-51.92528,-14.235
Brazil,Abdulhalim Radwi,1,-51.92528,-14.235
Brazil,Suad Al Attar,1,-51.92528,-14.235
Brazil,Moataz sr,1,-51.92528,-14.235
Brazil,Jessica Mein,1,-51.92528,-14.235
Brazil,Jilali Gharbaoui,1,-51.92528,-14.235
Brazil,Zineb Sedira,1,-51.92528,-14.235
Brazil,Arefeh Riahi,1,-51.92528,-14.235
Brazil,Marwan Rechmaoui,1,-51.92528,-14.235
Brazil,Ali Essafi,1,-51.92528,-14.235
Brazil,Abdullah Al Saadi,1,-51.92528,-14.235
Brazil,I┼ƒ─▒l E─ƒrikavuk,1,-51.92528,-14.235
Brisbane,Basir Mahmood ,1,153.0234,-27.47101
Brisbane,Imran Qureshi,1,153.0234,-27.47101
Brisbane,Cevdet Erek,1,153.0234,-27.47101
Brisbane,Robert MacPherson,1,153.0234,-27.47101
Bristol,Lawrence Abu Hamdan ,1,-2.58791,51.45451
Bristol,Hala Elkoussy,1,-2.58791,51.45451
Bristol,Doa Aly,1,-2.58791,51.45451
Britain,Zineb Sedira,1,-2.072784,53.71903
Britain,Raqs Media Collective,1,-2.072784,53.71903
